,city,lat,lng
0,Los Angeles,34.0536909,-118.242766
1,San Diego,32.7174202,-117.1627728
2,San Jose,37.3361905,-121.890583
3,San Francisco,37.7790262,-122.4199061
4,Fresno,36.7295295,-119.7088613
5,Sacramento,38.5810606,-121.4938951
6,Long Beach,33.7690164,-118.191604
7,Oakland,37.8044557,-122.2713563
8,Bakersfield,35.3738712,-119.0194639
9,Anaheim,33.8347516,-117.911732
10,Santa Ana,33.7494951,-117.8732213
11,Riverside,33.9533546,-117.3961623
12,Stockton,37.9577016,-121.2907796
13,Irvine,33.6856969,-117.8259819
14,Chula Vista,32.6400541,-117.0841955
15,Fremont,37.5482697,-121.9885719
16,San Bernardino,34.8253019,-116.0833144
17,Santa Clarita,34.3916641,-118.542586
18,Modesto,37.6390972,-120.9968782
19,Fontana,34.0922335,-117.435048
20,Oxnard,34.1976308,-119.1803818
21,Moreno Valley,33.937517,-117.2305944
22,Huntington Beach,33.6783336,-118.0000166
23,Glendale,34.1469416,-118.2478471
24,Santa Rosa,38.4404925,-122.7141049
25,Ontario,34.065846,-117.6484304
26,Rancho Cucamonga,34.1033192,-117.5751735
27,Oceanside,33.1958696,-117.3794834
28,Garden Grove,33.7746292,-117.9463717
29,Elk Grove,38.4087993,-121.3716178
30,Corona,33.8752945,-117.5664449
31,Hayward,37.6688205,-122.0807964
32,Lancaster,34.6981064,-118.1366153
33,Palmdale,34.5793131,-118.1171108
34,Salinas,36.6744117,-121.6550372
35,Sunnyvale,37.3688301,-122.0363496
36,Pomona,34.0553813,-117.7517496
37,Escondido,33.1216751,-117.0814849
38,Torrance,33.8358492,-118.3406288
39,Pasadena,34.1476452,-118.1444779
40,Orange,33.7500378,-117.8704931
41,Fullerton,33.8708215,-117.9294165
42,Roseville,38.7521235,-121.2880059
43,Visalia,36.3302284,-119.2920585
44,Concord,37.9768525,-122.0335624
45,Thousand Oaks,34.1714271,-118.9105877
46,Santa Clara,37.2333253,-121.6846349
47,Simi Valley,34.2677404,-118.7538071
48,Victorville,34.5361067,-117.2911565
49,Berkeley,37.8708393,-122.2728639
50,Vallejo,38.1040864,-122.2566367
51,East Los Angeles,34.0239015,-118.1720157
52,El Monte,34.0751571,-118.036849
53,Fairfield,38.2493581,-122.039966
54,Carlsbad,33.1580933,-117.3505966
55,Temecula,33.4946353,-117.1473661
56,Costa Mesa,33.6633386,-117.903317
57,Murrieta,33.5777524,-117.1884542
58,Downey,33.942215,-118.1235646
59,Antioch,38.0049214,-121.805789
60,San Buenaventura (Ventura),34.3640573,-119.3110159
61,Richmond,37.9357576,-122.3477486
62,Inglewood,33.9562003,-118.353132
63,Clovis,36.8252277,-119.7029194
64,Daly City,37.6904826,-122.4726708
65,West Covina,34.0686208,-117.9389526
66,Santa Maria,34.9531295,-120.4358577
67,Jurupa Valley,33.9798472,-117.4515754
68,Norwalk,33.9092802,-118.0849169
69,San Mateo,37.496904,-122.3330573
70,Burbank,34.1816482,-118.3258554
71,El Cajon,32.7947731,-116.9625269
72,Rialto,34.1064001,-117.3703235
73,Arden-Arcade,38.6039613,-121.3830035
74,Vista,33.2000368,-117.2425355
75,Vacaville,38.3565773,-121.9877444
76,Compton,33.894927,-118.226624
77,Mission Viejo,33.5965685,-117.659405
78,San Marcos,33.1433723,-117.1661449
79,South Gate,33.9463456,-118.200981
80,Chico,39.7284945,-121.8374777
81,Hesperia,34.4263886,-117.3008784
82,Carson,33.8322043,-118.2517547
83,Redding,40.5863563,-122.3916754
84,Santa Monica,34.0194704,-118.4912273
85,Santa Barbara,34.4221319,-119.7026673
86,Westminster,33.7578725,-117.9859054
87,Tracy,37.7396513,-121.4252227
88,Menifee,33.6864432,-117.1770437
89,San Leandro,37.7249296,-122.1560768
90,Livermore,37.6820583,-121.7680531
91,Chino,34.0133561,-117.690075
92,Indio,33.743765,-116.2233152
93,Citrus Heights,38.7071247,-121.2810611
94,Hawthorne,33.9188589,-118.3483256
95,Whittier,33.9708782,-118.0308396
96,Redwood City,37.4863239,-122.232523
97,Newport Beach,33.6170092,-117.9294401
98,Alhambra,34.093042,-118.12706
99,Hemet,33.7475203,-116.9719684
100,Lake Forest,33.6469261,-117.6859213
101,Merced,37.1641544,-120.7678602
102,Buena Park,33.870413,-117.9962165
103,Pleasanton,37.6624312,-121.8746789
104,Mountain View city,37.3893889,-122.0832101
105,Chino Hills,33.9926803,-117.760056
106,Lakewood,33.8503463,-118.1171914
